id,description,Saturados (g),Monoinsaturados (g),Poliinsaturados (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),14:1 (g),16:1 (g),18:1 (g),20:1 (g),18:2 n-6 (g),18:3 n-3 (g),20:4 (g),20:5 (g),22:5 (g),22:6 (g),18:1t (g),18:2t (g)
196,"Fruta-pão, crua",0.1,Tr,Tr,,,0.08,Tr,Tr,Tr,Tr,,,0.02,,0.01,0.02,,,,,,
197,"Goiaba, branca, com casca, crua",0.1,Tr,0.2,,,0.04,0.02,Tr,,Tr,,,0.03,,0.23,Tr,,,,,,
200,"Goiaba, vermelha, com casca, crua",0.1,Tr,0.3,,,0.04,0.02,Tr,,Tr,,,0.04,,0.26,Tr,,,,,,
201,"Graviola, crua",Tr,0.1,Tr,,,0.05,Tr,,,,,,0.08,,0.01,0.02,,,,,,
204,"Jaca, crua",0.1,0.1,Tr,,,0.09,Tr,Tr,Tr,Tr,,Tr,0.07,,Tr,0.02,,,,,,
207,"Kiwi, cru",0.1,0.1,0.3,,,0.04,0.02,Tr,,,,Tr,0.10,,0.06,0.29,,,,,,
221,"Maçã, Argentina, com casca, crua",0.1,Tr,Tr,,Tr,0.04,0.02,Tr,Tr,Tr,,Tr,0.02,,0.04,0.01,,,,,,
223,"Macaúba, crua",7.1,25.3,6.5,,0.04,6.01,0.97,0.05,,,,0.67,24.57,0.04,6.18,0.30,,,,,,
228,"Manga, Haden, crua",0.1,0.1,Tr,Tr,Tr,0.07,Tr,Tr,Tr,Tr,,0.04,0.05,Tr,0.02,0.02,,,,,,
230,"Manga, polpa, congelada",0.1,0.1,Tr,,0.01,0.07,Tr,,,,,0.03,0.05,,0.01,0.02,,,,,,
231,"Manga, Tommy Atkins, crua",0.1,0.1,Tr,Tr,0.03,0.05,Tr,Tr,Tr,Tr,,0.04,0.04,Tr,Tr,0.04,,,,,Tr,
232,"Maracujá, cru",0.2,0.3,0.9,,,0.17,0.05,Tr,,,,Tr,0.28,,0.92,0.02,,,,,,
242,"Pêra, Park, crua",0.1,Tr,0.1,,Tr,0.05,0.01,0.01,0.01,0.01,,Tr,0.02,Tr,0.05,0.01,,,,,,
246,"Pinha, crua",0.1,Tr,0.1,,,0.08,0.01,,Tr,Tr,,,0.03,,0.08,0.04,,,,,,
250,"Tamarindo, cru",0.1,0.2,Tr,,Tr,0.09,0.01,Tr,Tr,Tr,,Tr,0.18,Tr,0.02,0.02,,,,,Tr,
253,"Tucumã, cru",4.7,9.7,0.9,,0.02,3.18,1.19,0.25,0.02,0.02,,,9.62,0.06,0.30,0.58,,,,,,
259,"Azeite, de dendê",43.1,40.1,16.6,0.28,0.79,36.77,4.61,0.35,0.10,0.08,,0.14,39.86,0.24,15.69,0.83,,,,,,0.14
260,"Azeite, de oliva, extra virgem",14.9,75.5,9.5,,,11.30,2.96,0.38,0.12,0.05,,1.09,74.01,0.25,8.74,0.75,,,,,,
261,"Manteiga, com sal",49.2,20.4,1.2,2.09,8.06,23.01,9.30,0.15,,,0.81,0.98,17.94,0.13,0.89,0.27,,,,,2.50,0.80
262,"Manteiga, sem sal",51.5,21.9,1.5,2.11,7.96,23.87,9.64,0.14,,,0.78,0.98,19.80,0.12,1.22,0.27,,,,,2.31,0.51
263,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",14.9,18.2,21.4,0.06,0.11,8.29,5.75,0.23,0.28,0.09,,0.05,17.87,0.28,19.48,1.74,,,,,8.69,1.30
265,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",21.9,15.0,27.6,2.50,1.00,12.91,4.35,0.21,0.20,0.08,,0.06,14.70,0.26,24.85,2.64,,,,,0.09,0.24
266,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",20.9,14.4,26.5,2.35,0.94,12.41,4.15,0.20,0.19,0.08,,0.05,14.07,0.25,23.79,2.58,,,,,0.12,0.20
