id,description,Saturados (g),Monoinsaturados (g),Poliinsaturados (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),14:1 (g),16:1 (g),18:1 (g),20:1 (g),18:2 n-6 (g),18:3 n-3 (g),20:4 (g),20:5 (g),22:5 (g),22:6 (g),18:1t (g),18:2t (g)
267,"Óleo, de babaçu",50.9,18.6,30.2,25.03,7.92,9.46,3.14,0.17,0.21,0.07,,,18.51,0.25,27.17,2.86,,,,,,0.19
268,"Óleo, de canola",7.9,62.6,28.4,,0.06,4.59,2.21,0.57,0.30,0.15,,0.20,61.14,1.11,20.87,6.78,,,,,,0.37
269,"Óleo, de girassol",10.8,25.4,62.6,,0.07,6.10,3.42,0.26,0.67,0.25,,0.08,25.15,0.18,62.22,0.39,,,,,,1.14
270,"Óleo, de milho",15.2,33.4,50.9,,,12.12,2.18,0.49,0.18,0.19,,0.12,33.04,0.23,49.94,0.96,,,,,,0.48
271,"Óleo, de pequi",39.9,55.8,4.2,,0.09,37.37,2.08,0.19,0.05,0.06,,0.83,54.73,0.14,3.74,0.51,,,,,,
272,"Óleo, de soja",15.2,23.3,60.0,,0.08,10.83,3.36,0.33,0.43,0.14,,0.09,22.98,0.60,53.85,5.72,,,,,,0.50
273,"Abadejo, filé, congelado, assado",0.6,0.3,0.1,,0.01,0.44,0.11,,,,,0.02,0.29,0.02,0.02,Tr,Tr,0.06,Tr,0.07,Tr,
274,"Abadejo, filé, congelado,cozido",0.4,0.3,0.2,,Tr,0.29,0.08,,,,,0.01,0.22,0.02,0.03,,Tr,0.06,Tr,0.08,,
275,"Abadejo, filé, congelado, cru",0.1,Tr,0.1,Tr,Tr,0.06,0.02,,,,,Tr,0.04,Tr,Tr,,0.01,0.01,Tr,0.08,,
276,"Abadejo, filé, congelado, grelhado",0.6,0.3,0.6,,0.01,0.42,0.11,,,,,0.01,0.27,0.02,0.02,0.02,Tr,0.10,,0.42,,
277,"Atum, conserva em óleo",1.0,1.3,3.2,,0.02,0.70,0.26,0.02,0.02,,,0.02,1.27,0.02,2.68,0.29,0.03,0.03,,0.19,,0.04
278,"Atum, fresco, cru",0.5,0.2,Tr,,0.01,0.27,0.17,Tr,Tr,Tr,,0.02,0.18,Tr,0.01,0.01,Tr,Tr,,0.01,Tr,
279,"Bacalhau, salgado, cru",0.6,0.3,0.2,Tr,0.03,0.43,0.14,,Tr,Tr,,0.03,0.28,Tr,0.02,0.08,0.03,0.02,,0.06,Tr,
280,"Bacalhau, salgado, refogado",0.9,1.1,1.2,,0.02,0.65,0.23,0.02,0.02,Tr,,0.02,1.01,0.03,1.08,0.07,Tr,0.04,,0.04,0.03,0.01
281,"Cação, posta, com farinha de trigo, frita",1.5,2.2,5.2,,0.01,1.03,0.37,0.03,0.04,0.02,,0.01,2.17,0.03,4.62,0.47,0.02,0.01,0.02,0.07,,
282,"Cação, posta, cozida",0.2,0.1,0.2,,,0.07,0.12,,,,,Tr,0.08,0.01,Tr,,0.03,0.01,0.01,0.12,,
283,"Cação, posta, crua",0.1,0.1,0.2,Tr,Tr,0.07,0.07,,,,,Tr,0.06,0.01,Tr,,0.02,0.02,0.02,0.10,,
284,"Camarão, Rio Grande, grande, cozido",0.4,0.2,0.2,,0.01,0.23,0.14,0.01,0.01,Tr,,0.05,0.16,0.01,0.03,Tr,0.04,0.08,0.01,0.09,0.01,
285,"Camarão, Rio Grande, grande, cru",0.1,0.1,0.2,,Tr,0.08,0.04,Tr,,,,0.02,0.06,Tr,0.02,Tr,0.02,0.08,0.01,,Tr,
286,"Camarão, Sete Barbas, sem cabeça, com casca, frito",2.5,3.6,8.8,,,1.69,0.59,0.05,0.08,0.03,,0.05,3.54,,7.76,0.82,0.05,0.08,,0.10,,
287,"Caranguejo, cozido",0.2,0.2,Tr,,,0.10,0.09,0.01,0.01,,,0.01,0.14,,0.03,Tr,,,,,,
288,"Corimba, cru",2.5,2.3,0.3,,0.30,1.57,0.31,0.01,0.02,,,1.21,1.02,0.01,0.09,0.12,0.03,0.04,0.01,0.03,0.04,
289,"Corimbatá, assado",4.8,6.4,2.6,,0.51,3.25,0.83,,,,,2.91,3.22,0.26,0.43,0.17,0.16,0.84,0.33,0.26,,
290,"Corimbatá, cozido",4.5,6.5,2.3,,0.52,3.15,0.68,,,,,3.12,3.11,0.24,0.21,0.17,0.16,0.89,0.36,0.29,,
291,"Corvina de água doce, crua",1.2,0.7,0.1,,0.04,0.75,0.26,0.01,0.01,0.01,,0.18,0.49,Tr,0.04,0.03,0.02,0.01,Tr,Tr,0.01,
292,"Corvina do mar, crua",0.7,0.5,0.1,,0.05,0.46,0.13,0.01,Tr,0.01,,0.20,0.27,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.01,
293,"Corvina grande, assada",1.5,1.2,0.3,,0.12,0.99,0.32,0.02,0.01,Tr,0.01,0.42,0.69,0.03,0.03,,0.04,0.05,0.04,0.05,0.02,
294,"Corvina grande, cozida",0.7,0.6,0.6,,0.06,0.49,0.17,,,,,0.23,0.33,0.03,0.02,0.01,0.09,0.17,0.10,0.20,0.01,
295,"Dourada de água doce, fresca",3.0,1.4,0.4,0.01,0.19,1.85,0.66,0.03,0.05,0.04,,0.29,1.05,0.07,0.14,,0.06,0.02,0.03,0.04,0.02,
296,"Lambari, congelado, cru",2.0,2.2,1.2,0.02,0.16,1.24,0.47,0.02,0.04,,,0.34,1.82,0.02,0.49,0.17,0.21,0.13,0.06,0.18,0.01,
297,"Lambari, congelado, frito",5.5,7.0,8.1,,0.22,3.40,1.39,0.09,0.12,0.04,0.04,0.02,6.72,0.11,6.43,0.78,0.34,0.03,0.08,0.23,0.04,0.06
298,"Lambari, fresco,cru",3.4,3.3,1.1,0.03,0.15,2.11,0.88,0.04,0.03,0.04,,0.39,2.84,0.05,0.57,,0.12,0.10,0.05,0.12,0.08,0.02
299,"Manjuba, com farinha de trigo, frita",5.5,5.4,10.4,,0.28,3.74,1.08,0.09,0.11,0.04,,0.30,4.90,0.09,7.53,0.84,0.09,0.44,0.17,1.16,,0.04
300,"Manjuba, frita",5.3,6.0,11.7,,0.21,3.59,1.17,0.09,0.13,0.06,,0.23,5.53,0.15,8.92,0.87,0.08,0.35,0.14,1.13,,
301,"Merluza, filé, assado",0.2,0.1,0.3,,,0.12,0.06,,,Tr,,Tr,0.10,Tr,0.02,,0.02,0.03,Tr,0.23,,
302,"Merluza, filé, cru",0.9,0.5,0.4,,0.17,0.59,0.08,Tr,,0.02,,0.15,0.35,Tr,0.03,0.05,0.02,0.03,0.02,0.11,,
303,"Merluza, filé, frito",1.4,2.1,4.3,,0.08,1.03,0.26,,0.03,,,0.14,1.77,0.10,3.07,0.36,,0.19,Tr,0.60,,
304,"Pescada, branca, crua",0.8,2.4,0.9,,0.04,0.40,0.22,0.02,0.01,0.01,,0.75,1.61,Tr,0.04,0.05,0.05,0.18,0.13,0.43,0.01,
305,"Pescada, branca, frita",2.3,3.2,5.2,,0.14,1.55,0.48,0.04,0.05,0.02,,0.16,2.78,0.19,4.21,0.41,0.02,0.01,0.03,0.45,0.01,0.06
306,"Pescada, filé, com farinha de trigo, frito",2.2,4.4,9.1,,,1.55,0.53,0.04,0.06,,,0.46,3.91,0.07,6.63,0.75,0.05,0.22,0.08,0.54,,
307,"Pescada, filé, cru",0.9,2.3,0.3,,0.05,0.47,0.24,0.02,0.01,0.01,,0.77,1.51,Tr,0.03,0.04,0.02,0.06,0.04,0.13,0.01,
308,"Pescada, filé, frito",1.0,1.1,1.2,,0.06,0.64,0.23,0.02,0.01,Tr,,0.10,0.98,0.04,0.87,0.07,0.02,0.02,0.01,0.12,0.02,0.01
309,"Pescada, filé, molho escabeche",1.3,2.9,4.3,,,0.96,0.28,0.03,0.03,,,0.09,2.82,0.04,3.75,0.41,,0.03,0.02,0.10,,
310,"Pescadinha, crua",0.3,0.2,0.4,,0.02,0.19,0.05,,,Tr,,0.03,0.15,0.01,0.01,0.01,0.01,0.09,0.01,0.23,,
