id,category,description,humidity (%),energy (kcal),energy (kJ),protein (g),lipids (g),cholesterol (mg),carbohydrate (g),fiber (g),Cinzas (g),Calcium (mg),Magnesium (mg),Magnesium  (mg),Phosphor (mg),Iron (mg),Sodium (mg),Potassium (mg),Copper (mg),Zinc (mg),Retinol (mcg),RE (mcg),RAE (mcg),Thiamine (mg),Riboflavin (mg),Pyridoxine (mg),Niacin (mg),vitamina-c (mg)
1,Cereais e derivados,"Arroz, integral, cozido",70.14,123.53,516.87,2.59,1.00,NA,25.81,2.75,0.46,5.20,58.70,0.63,105.85,0.26,1.24,75.15,0.02,0.68,NA,,,0.08,Tr,0.08,Tr,
2,Cereais e derivados,"Arroz, integral, cru",12.18,359.68,1504.89,7.32,1.86,NA,77.45,4.82,1.18,7.82,109.71,2.99,250.87,0.95,1.65,173.34,0.07,1.40,NA,,,0.26,Tr,0.18,4.18,
3,Cereais e derivados,"Arroz, tipo 1, cozido",69.11,128.26,536.63,2.52,0.23,NA,28.06,1.56,0.08,3.54,2.25,0.30,17.95,0.08,1.20,14.67,0.02,0.49,NA,,,Tr,Tr,Tr,Tr,
4,Cereais e derivados,"Arroz, tipo 1, cru",13.22,357.79,1496.99,7.16,0.34,NA,78.76,1.64,0.52,4.41,30.38,1.03,104.21,0.68,1.02,62.50,0.11,1.22,NA,,,0.16,Tr,0.07,1.12,
5,Cereais e derivados,"Arroz, tipo 2, cozido",68.73,130.12,544.42,2.57,0.36,NA,28.19,1.07,0.15,3.33,6.05,0.37,21.52,0.05,1.96,20.20,0.04,0.55,NA,,,Tr,Tr,Tr,Tr,
6,Cereais e derivados,"Arroz, tipo 2, cru",13.16,358.12,1498.36,7.24,0.28,NA,78.88,1.72,0.44,4.83,29.24,0.83,82.04,0.60,0.57,57.28,0.05,1.27,NA,,,0.16,Tr,0.05,0.92,
7,Cereais e derivados,"Aveia, flocos, crua",9.13,393.82,1647.75,13.92,8.50,NA,66.64,9.13,1.81,47.89,118.76,1.89,153.40,4.45,4.63,336.33,0.44,2.63,NA,,,0.55,0.03,Tr,4.47,1.35
8,Cereais e derivados,"Biscoito, doce, maisena",3.22,442.82,1852.76,8.07,11.97,NA,75.23,2.10,1.51,54.45,37.14,0.78,166.10,1.76,352.03,141.64,0.17,1.03,NA,,,1.01,0.42,0.23,3.91,6.22
9,Cereais e derivados,"Biscoito, doce, recheado com chocolate",2.18,471.82,1974.11,6.40,19.58,Tr,70.55,2.96,1.29,27.23,47.98,0.59,139.45,2.27,239.20,232.40,0.27,0.99,Tr, , ,0.32,0.39,0.46,2.52,3.53
10,Cereais e derivados,"Biscoito, doce, recheado com morango",2.73,471.17,1971.40,5.72,19.57,Tr,71.01,1.53,0.96,35.78,27.10,0.66,137.74,1.48,229.82,113.01,0.13,0.73,Tr, , ,0.90,0.42,0.21,1.50,Tr
11,Cereais e derivados,"Biscoito, doce, wafer, recheado de chocolate",1.17,502.46,2102.28,5.56,24.67,Tr,67.54,1.80,1.06,23.34,47.85,0.44,124.20,2.44,137.24,240.45,0.26,0.87,Tr, , ,0.37,0.03,0.30,1.12,Tr
12,Cereais e derivados,"Biscoito, doce, wafer, recheado de morango",1.17,513.45,2148.26,4.52,26.40,1.27,67.35,0.82,0.56,13.71,18.54,0.28,73.16,1.09,119.90,74.84,0.08,0.51,Tr, , ,0.36,Tr,0.94,0.37,
13,Cereais e derivados,"Biscoito, salgado, cream cracker",4.06,431.73,1806.37,10.06,14.44,NA,68.73,2.51,2.72,20.00,39.75,0.69,148.26,2.20,854.36,180.61,0.18,1.14,NA,,,0.71,0.13,0.17,7.14,
14,Cereais e derivados,"Bolo, mistura para",1.00,418.63,1751.56,6.16,6.13,Tr,84.71,1.70,2.00,58.88,27.92,0.46,332.66,1.21,462.88,75.36,0.15,0.58,NA,,,0.18,Tr,1.50,1.52,Tr
15,Cereais e derivados,"Bolo, pronto, aipim",34.13,323.85,1355.00,4.42,12.75,73.20,47.86,0.69,0.84,85.02,10.34,0.11,122.19,0.49,111.01,134.82,0.05,0.42,Tr, , ,0.13,0.07,Tr,Tr,Tr
16,Cereais e derivados,"Bolo, pronto, chocolate",19.28,410.01,1715.50,6.22,18.47,76.80,54.72,1.43,1.31,74.58,27.69,0.38,196.98,2.13,283.30,211.76,0.05,0.71,Tr, , ,0.13,0.09,0.05,Tr,Tr
17,Cereais e derivados,"Bolo, pronto, coco",29.32,333.44,1395.10,5.67,11.30,63.21,52.28,1.06,1.44,57.11,16.25,0.40,303.40,0.85,190.34,143.29,0.09,0.68,Tr,Tr,Tr,0.15,0.06,Tr,Tr,Tr
18,Cereais e derivados,"Bolo, pronto, milho",36.69,311.39,1302.84,4.80,12.42,81.69,45.11,0.71,0.98,82.58,10.25,0.11,128.20,0.65,133.81,118.43,0.04,0.44,56.89,,,0.11,0.05,Tr,Tr,Tr
19,Cereais e derivados,"Canjica, branca, crua",13.56,357.60,1496.21,7.20,0.97,NA,78.06,5.50,0.21,1.96,12.33,0.09,48.50,0.32,0.79,92.95,0.05,0.36,NA,,,Tr,Tr,Tr,Tr,Tr
20,Cereais e derivados,"Canjica, com leite integral",72.49,112.46,470.52,2.36,1.24,1.35,23.63,1.22,0.27,42.56,5.84,0.02,40.58,0.06,27.59,69.81,0.03,0.28,Tr,,,Tr,0.04,Tr,Tr,Tr
21,Cereais e derivados,"Cereais, milho, flocos, com sal",9.29,369.60,1546.41,7.29,1.60,NA,80.84,5.29,0.98,1.81,20.10,Tr,90.77,0.52,271.74,68.66,Tr,0.61,NA,,,0.12,Tr,0.06,Tr,Tr
22,Cereais e derivados,"Cereais, milho, flocos, sem sal",11.22,363.34,1520.21,6.88,1.18,NA,80.45,1.84,0.27,1.97,16.55,Tr,58.36,1.69,30.97,28.70,0.24,0.33,NA,,,0.05,Tr,0.04,Tr,Tr
23,Cereais e derivados,"Cereais, mingau, milho, infantil",4.70,394.43,1650.28,6.43,1.09,NA,87.27,3.21,0.51,218.81,16.03,0.11,169.16,3.03,399.40,82.02,0.04,0.36,21.42,,,3.72,0.47,5.08,24.16,109.37
24,Cereais e derivados,"Cereais, mistura para vitamina, trigo, cevada e aveia",4.37,381.13,1594.66,8.90,2.12,NA,81.62,4.98,3.00,584.25,72.27,2.28,515.04,12.64,1163.26,244.36,0.21,2.02,Tr,,,0.76,0.88,1.49,7.46,13.11
25,Cereais e derivados,"Cereal matinal, milho",5.53,365.35,1528.64,7.16,0.96,NA,83.82,4.12,2.54,142.92,10.93,0.06,100.80,3.05,654.54,83.09,0.06,7.63,NA,30.92,15.46,0.76,1.02,2.25,11.04,17.29
26,Cereais e derivados,"Cereal matinal, milho, açúcar",4.27,376.56,1575.51,4.74,0.67,NA,88.84,2.11,1.48,56.42,7.94,0.13,43.18,3.90,405.31,51.60,0.04,8.48,NA,30.92,15.46,0.73,1.11,0.79,10.13,14.55
27,Cereais e derivados,"Creme de arroz, pó",7.33,386.00,1615.03,7.03,1.23,NA,83.87,1.07,0.54,7.09,50.50,1.24,153.02,0.63,1.03,114.68,0.04,1.86,NA,,,0.22,Tr,0.05,Tr,Tr
28,Cereais e derivados,"Creme de milho, pó",5.65,333.03,1393.42,4.82,1.64,NA,86.15,3.72,1.74,323.16,30.06,0.20,303.27,4.26,593.79,165.72,0.04,0.78,NA,,,0.74,Tr,2.05,Tr,96.34
29,Cereais e derivados,"Curau, milho verde",81.56,78.43,328.17,2.36,1.64,4.74,13.94,0.46,0.49,52.60,15.96,0.06,74.66,0.45,20.51,161.84,0.03,0.40,12.07,20.07,16.07,0.04,0.07,Tr,Tr,Tr
30,Cereais e derivados,"Curau, milho verde, mistura para",3.92,402.29,1683.17,2.22,13.37,NA,79.82,2.52,0.67,30.88,8.50,0.05,44.62,0.86,222.93,55.34,0.03,0.24,NA,,,0.13,Tr,Tr,Tr,Tr
31,Cereais e derivados,"Farinha, de arroz, enriquecida",12.69,363.06,1519.03,1.27,0.30,NA,85.50,0.58,0.23,1.12,4.30,0.04,35.96,31.38,17.10,12.54,Tr,8.48,NA,,,3.23,Tr,3.47,24.42,173.59
32,Cereais e derivados,"Farinha, de centeio, integral",10.78,335.78,1404.89,12.52,1.75,NA,73.30,15.48,1.66,33.92,120.23,3.86,339.99,4.73,41.38,333.62,0.56,2.66,NA,,,0.29,0.03,0.08,Tr,Tr
33,Cereais e derivados,"Farinha, de milho, amarela",11.77,350.59,1466.86,7.19,1.47,NA,79.08,5.49,0.49,1.29,30.96,Tr,84.22,2.25,44.93,57.85,0.27,0.60,NA,18.00,9.00,0.25,Tr,0.25,Tr,Tr
34,Cereais e derivados,"Farinha, de rosca",9.81,370.58,1550.50,11.38,1.46,NA,75.79,4.82,1.56,35.30,56.88,1.62,194.96,6.73,332.50,212.14,0.26,1.67,NA,,,0.25,Tr,0.09,Tr,Tr
35,Cereais e derivados,"Farinha, de trigo",12.98,360.47,1508.22,9.79,1.37,NA,75.09,2.35,0.77,17.86,31.00,0.46,114.74,0.95,0.74,151.37,0.15,0.83,NA,,,0.31,Tr,Tr,0.89,Tr
36,Cereais e derivados,"Farinha, láctea, de cereais",2.70,414.85,1735.73,11.88,5.79,11.27,77.77,1.94,1.86,196.06,57.69,1.49,296.44,8.72,125.07,365.60,0.19,1.73,492.25,,,1.43,1.13,1.14,9.50,24.31
37,Cereais e derivados,"Lasanha, massa fresca, cozida",59.65,163.76,685.19,5.81,1.16,NA,32.52,1.64,0.86,9.97,3.54,0.20,42.38,1.19,206.77,53.91,0.07,0.41,NA,,,0.04,Tr,Tr,3.96, 
38,Cereais e derivados,"Lasanha, massa fresca, crua",44.99,220.31,921.76,7.01,1.34,NA,45.06,1.61,1.61,16.55,12.59,0.34,81.96,1.87,666.71,136.61,0.10,0.76,NA,,,0.08,Tr,Tr,Tr, 
39,Cereais e derivados,"Macarrão, instantâneo",5.97,435.86,1823.66,8.79,17.24,NA,62.43,5.61,5.57,17.63,19.37,0.25,112.15,0.80,1515.53,147.92,0.10,0.50,NA,,,1.18,0.04,0.53,9.37,Tr
40,Cereais e derivados,"Macarrão, trigo, cru",10.24,371.12,1552.78,10.00,1.30,NA,77.94,2.93,0.51,17.30,27.69,0.53,99.81,0.88,7.17,147.06,0.15,0.78,NA,,,0.18,0.02,Tr,3.57,Tr
41,Cereais e derivados,"Macarrão, trigo, cru, com ovos",10.56,370.57,1550.45,10.32,1.97,17.57,76.62,2.30,0.52,19.45,Tr,0.40,118.48,0.92,14.74,134.10,0.14,0.81,Tr,,,0.11,0.05,0.03,4.37,Tr
42,Cereais e derivados,"Milho, amido, cru",12.18,361.37,1511.96,0.60,Tr,NA,87.15,0.74,0.07,1.06,3.03,0.02,12.60,0.13,8.08,8.54,0.02,0.08,NA,,,Tr,Tr,Tr,Tr,Tr
43,Cereais e derivados,"Milho, fubá, cru",11.45,353.48,1478.97,7.21,1.90,NA,78.87,4.71,0.56,2.67,41.23,0.34,107.84,0.85,Tr,168.33,0.08,1.09,NA,26.00,13.00,0.25,Tr,Tr,0.75,Tr
44,Cereais e derivados,"Milho, verde, cru",63.54,138.17,578.09,6.59,0.61,NA,28.56,3.92,0.71,1.61,32.58,0.12,112.71,0.41,1.12,184.82,0.05,0.52,NA,32.00,16.00,0.30,Tr,0.04,Tr,Tr
45,Cereais e derivados,"Milho, verde, enlatado, drenado",76.22,97.56,408.21,3.23,2.35,NA,17.14,4.64,1.06,2.17,20.38,0.09,61.31,0.59,260.35,162.02,0.05,0.50,NA,48.00,24.00,Tr,0.05,Tr,3.74,1.74
46,Cereais e derivados,"Mingau tradicional, pó",8.14,373.42,1562.40,0.58,0.37,NA,89.34,0.88,1.57,522.05,4.28,Tr,273.32,41.99,14.86,Tr,Tr,15.21,1533.24,,,3.41,Tr,3.11,19.39,Tr
47,Cereais e derivados,"Pamonha, barra para cozimento, pré-cozida",61.31,171.22,716.38,2.55,4.85,NA,30.68,2.37,0.61,4.16,15.35,0.12,54.59,0.36,131.99,125.35,0.03,0.42,NA,,,Tr,Tr,Tr,Tr,Tr
48,Cereais e derivados,"Pão, aveia, forma",19.92,343.09,1435.47,12.35,5.69,Tr,59.57,5.98,2.47,108.69,56.68,1.08,182.20,4.73,605.76,210.08,0.14,1.73,Tr, , ,0.09,0.03,0.08,Tr,Tr
49,Cereais e derivados,"Pão, de soja",26.03,308.73,1291.71,11.34,3.58,NA,56.51,5.71,2.53,90.24,48.32,0.57,153.18,3.33,662.54,296.35,0.16,1.46,NA,,,0.07,0.04,0.79,Tr,Tr
50,Cereais e derivados,"Pão, glúten, forma",40.67,252.99,1058.53,11.95,2.73,NA,44.12,2.48,0.53,155.72,24.24,0.51,105.26,5.71,22.05,64.73,0.06,1.28,NA,,,0.04,0.03,Tr,Tr,Tr
51,Cereais e derivados,"Pão, milho, forma",30.42,292.01,1221.78,8.30,3.11,5.69,56.40,4.30,1.77,77.85,29.42,0.37,110.10,3.04,506.64,89.02,0.10,0.82,Tr,,,0.08,Tr,0.08,Tr,Tr
52,Cereais e derivados,"Pão, trigo, forma, integral",34.72,253.19,1059.36,9.43,3.65,NA,49.94,6.88,2.26,131.76,60.43,1.62,193.44,2.99,506.10,162.87,0.15,1.59,NA,,,0.08,0.04,0.15,Tr,Tr
53,Cereais e derivados,"Pão, trigo, francês",28.48,299.81,1254.41,7.95,3.10,NA,58.65,2.31,1.81,15.75,25.46,0.46,94.74,1.00,647.67,142.20,0.13,0.76,2.99,,,0.39,0.67,0.60,2.34, 
54,Cereais e derivados,"Pão, trigo, sovado",25.76,310.96,1301.08,8.40,2.84,16.56,61.45,2.43,1.55,51.62,22.22,0.31,100.66,2.27,430.79,91.17,Tr,2.66,Tr, , ,0.08,0.04,0.15,Tr,Tr
55,Cereais e derivados,"Pastel, de carne, cru",34.40,288.70,1207.93,10.74,8.79,18.20,42.02,1.04,4.05,16.69,17.71,0.34,117.38,1.99,1309.27,165.61,0.11,1.66,Tr,,,0.06,0.03,Tr,1.58,Tr
56,Cereais e derivados,"Pastel, de carne, frito",22.92,388.37,1624.96,10.10,20.14,25.34,43.77,0.99,3.07,12.55,14.44,0.22,90.03,2.51,1039.89,155.64,0.12,1.15,Tr,,,0.06,0.05,Tr,1.83,
57,Cereais e derivados,"Pastel, de queijo, cru",31.28,308.47,1290.66,9.85,9.63,14.35,45.95,1.11,3.28,154.70,15.81,0.24,168.12,0.99,984.57,102.58,0.10,0.97,Tr,,,0.07,0.03,Tr,Tr,Tr
58,Cereais e derivados,"Pastel, de queijo, frito",17.54,422.11,1766.12,8.71,22.67,15.38,48.13,0.94,2.95,126.13,14.74,0.20,123.81,1.34,821.38,123.75,0.10,0.76,17.58,,,0.09,0.04,Tr,Tr,Tr
59,Cereais e derivados,"Pastel, massa, crua",27.07,310.20,1297.89,6.90,5.48,NA,57.38,1.41,3.17,12.61,14.43,0.38,72.55,1.06,1344.20,166.68,0.11,0.61,NA,,,0.15,Tr,Tr,Tr, 
60,Cereais e derivados,"Pastel, massa, frita",0.97,569.67,2383.51,6.02,40.86,NA,49.34,1.31,2.81,11.27,12.74,0.36,62.36,1.45,1174.67,142.55,0.08,0.52,NA,,,0.16,Tr,Tr,Tr, 
61,Cereais e derivados,"Pipoca, com óleo de soja, sem sal",2.82,448.33,1875.83,9.93,15.94,NA,70.31,14.34,1.00,2.83,90.76,0.65,225.13,1.16,4.32,255.96,0.46,2.05,NA,,,0.03,0.03,Tr,Tr,Tr
62,Cereais e derivados,"Polenta, pré-cozida",72.74,102.74,429.87,2.29,0.30,NA,23.31,2.40,1.35,1.09,4.43,Tr,16.79,Tr,441.89,99.64,0.04,0.05,NA,,,0.04,Tr,Tr,Tr,Tr
63,Cereais e derivados,"Torrada, pão francês",9.05,377.42,1579.13,10.52,3.30,NA,74.56,3.40,2.57,18.74,31.60,0.55,113.92,1.24,829.49,189.49,0.16,0.91,NA,,,0.38,Tr,Tr,Tr,Tr
64,"Verduras, hortaliças e derivados","Abóbora, cabotian, cozida",86.35,48.04,201.02,1.44,0.73,NA,10.76,2.46,0.71,7.63,9.11,0.26,32.60,0.35,1.45,199.10,0.06,0.29,NA,,,0.08,Tr,0.07,Tr,7.46
65,"Verduras, hortaliças e derivados","Abóbora, cabotian, crua",88.52,38.60,161.50,1.75,0.54,NA,8.36,2.17,0.84,17.96,8.82,0.11,25.77,0.37,Tr,350.56,0.06,0.32,NA,446.00,223.00,Tr,Tr,0.10,Tr,5.09
66,"Verduras, hortaliças e derivados","Abóbora, menina brasileira, crua",95.69,13.61,56.93,0.61,Tr,NA,3.30,1.17,0.36,8.74,4.09,0.01,11.62,0.15,Tr,164.60,0.02,Tr,NA,1108.00,554.00,0.07,Tr,0.04,Tr,1.50
67,"Verduras, hortaliças e derivados","Abóbora, moranga, crua",95.87,12.36,51.73,0.96,0.06,NA,2.67,1.70,0.44,3.05,1.85,0.01,7.91,Tr,Tr,124.87,0.05,0.07,NA,278.00,139.00,Tr,Tr,0.06,Tr,9.65
68,"Verduras, hortaliças e derivados","Abóbora, moranga, refogada",92.46,29.00,121.35,0.39,0.80,NA,5.98,1.55,0.37,19.08,7.49,0.02,11.65,0.11,3.03,183.19,0.04,0.08,NA,95.33,47.67,0.05,Tr,0.05,Tr,6.73
69,"Verduras, hortaliças e derivados","Abóbora, pescoço, crua",92.49,24.47,102.37,0.67,0.12,NA,6.12,2.30,0.60,8.81,7.42,0.07,31.62,0.28,0.75,263.88,0.09,0.18,NA,,,Tr,Tr,0.06,Tr,2.09
70,"Verduras, hortaliças e derivados","Abobrinha, italiana, cozida",95.28,15.04,62.92,1.13,0.20,NA,2.98,1.59,0.42,16.73,16.86,0.11,22.49,0.16,0.83,125.88,0.01,0.26,NA,,,0.05,Tr,0.06,Tr,2.13
71,"Verduras, hortaliças e derivados","Abobrinha, italiana, crua",93.86,19.28,80.66,1.14,0.14,NA,4.29,1.35,0.56,15.13,19.95,0.09,32.02,0.24,Tr,253.38,0.05,0.17,NA,40.50,20.25,Tr,0.06,0.03,Tr,6.87
72,"Verduras, hortaliças e derivados","Abobrinha, italiana, refogada",93.49,24.43,102.21,1.07,0.82,NA,4.19,1.38,0.43,20.67,12.67,0.14,31.83,0.36,2.21,193.63,0.02,0.27,NA,41.58,20.79,0.04,Tr,Tr,Tr,7.53
73,"Verduras, hortaliças e derivados","Abobrinha, paulista, crua",90.85,30.81,128.91,0.64,0.14,NA,7.87,2.61,0.50,18.67,9.39,0.11,32.75,0.17,0.50,212.87,0.10,0.18,NA,,,Tr,Tr,0.03,Tr,17.55
74,"Verduras, hortaliças e derivados","Acelga, crua",93.19,20.94,87.62,1.44,0.11,NA,4.63,1.12,0.63,42.99,10.40,0.11,40.03,0.27,1.18,239.82,0.10,0.31,NA,,,0.04,Tr,0.16,Tr,22.55
75,"Verduras, hortaliças e derivados","Agrião, cru",93.94,16.58,69.37,2.69,0.24,NA,2.25,2.14,0.88,132.53,18.16,0.28,50.59,3.11,7.46,217.66,0.10,0.72,NA,458.00,229.00,0.11,0.23,0.09,1.19,60.10
76,"Verduras, hortaliças e derivados","Aipo, cru",93.83,19.09,79.88,0.76,0.07,NA,4.27,0.96,1.07,65.22,8.86,0.18,28.05,0.72,9.52,273.60,0.31,0.14,NA,916.00,458.00,Tr,Tr,0.18,Tr,5.88
77,"Verduras, hortaliças e derivados","Alface, americana, crua",97.17,8.79,36.80,0.61,0.13,NA,1.75,1.02,0.35,14.44,5.74,0.12,19.38,0.27,7.31,136.00,0.02,0.23,NA,,,0.03,Tr,0.04,Tr,10.96
78,"Verduras, hortaliças e derivados","Alface, crespa, crua",96.09,10.68,44.69,1.35,0.16,NA,1.70,1.83,0.70,37.98,10.97,0.20,25.81,0.40,3.38,267.13,0.03,0.25,NA,234.00,117.00,0.11,0.12,Tr,1.09,15.58
79,"Verduras, hortaliças e derivados","Alface, lisa, crua",95.00,13.82,57.83,1.69,0.12,NA,2.43,2.33,0.76,27.51,9.11,0.33,26.13,0.61,4.23,348.71,0.03,0.35,NA,368.00,184.00,0.09,0.08,0.07,0.75,21.39
80,"Verduras, hortaliças e derivados","Alface, roxa, crua",95.73,12.72,53.21,0.91,0.19,NA,2.49,2.01,0.68,33.83,9.31,0.12,51.13,2.48,7.12,308.44,0.04,0.23,NA,312.42,156.21,Tr,Tr,Tr,Tr,13.47
81,"Verduras, hortaliças e derivados","Alfavaca, crua",90.21,29.18,122.10,2.66,0.48,NA,5.24,4.14,1.42,258.50,84.24,0.15,49.74,1.26,4.55,260.72,0.15,0.71,NA,,,Tr,0.12,0.56,Tr,Tr
82,"Verduras, hortaliças e derivados","Alho, cru",67.55,113.13,473.34,7.01,0.22,NA,23.91,4.32,1.32,13.56,21.29,0.24,149.09,0.80,5.36,534.89,0.15,0.82,NA,,,0.18,Tr,0.44,Tr,*
83,"Verduras, hortaliças e derivados","Alho-poró, cru",90.95,31.51,131.83,1.41,0.14,NA,6.88,2.51,0.62,33.62,10.69,0.10,36.49,0.64,1.76,224.47,0.29,0.24,NA,16.17,8.08,0.06,Tr,0.08,0.34,14.15
84,"Verduras, hortaliças e derivados","Almeirão, cru",93.67,18.03,75.46,1.77,0.22,NA,3.34,2.59,1.01,19.50,21.11,0.17,39.66,0.74,2.35,369.12,0.10,0.29,NA,566.00,283.00,0.10,0.18,Tr,0.63,1.69
85,"Verduras, hortaliças e derivados","Almeirão, refogado",86.54,65.08,272.30,1.70,4.85,NA,5.70,3.43,1.20,63.40,17.28,0.28,30.87,1.55,14.52,315.36,0.06,0.19,NA,,,0.03,0.06,0.05,4.03,1.47
86,"Verduras, hortaliças e derivados","Batata, baroa, cozida",79.26,80.12,335.22,0.85,0.17,NA,18.95,1.76,0.77,11.85,7.58,0.22,29.48,0.42,2.10,258.33,0.15,0.38,NA,,,0.06,Tr,Tr,1.98,17.10
87,"Verduras, hortaliças e derivados","Batata, baroa, crua",73.69,100.98,422.52,1.05,0.17,NA,23.98,2.06,1.11,17.13,11.99,0.07,45.20,0.30,Tr,505.18,0.05,0.20,NA,24.50,12.25,0.05,Tr,0.12,Tr,7.55
88,"Verduras, hortaliças e derivados","Batata, doce, cozida",80.43,76.76,321.16,0.64,0.09,NA,18.42,2.21,0.42,17.15,11.16,0.14,15.39,0.19,2.70,148.44,0.06,0.12,NA,,,0.08,Tr,0.05,2.57,23.79
89,"Verduras, hortaliças e derivados","Batata, doce, crua",69.51,118.24,494.72,1.26,0.13,NA,28.20,2.57,0.90,21.11,16.89,0.18,36.46,0.39,8.77,340.20,0.11,0.20,NA,,,0.06,Tr,0.10,Tr,16.48
90,"Verduras, hortaliças e derivados","Batata, frita, tipo chips, industrializada",2.70,542.73,2270.80,5.58,36.62,NA,51.22,2.46,3.88,11.60,24.24,0.23,96.50,0.70,607.40,1014.33,0.12,0.59,NA,,,0.20,Tr,0.13,2.61,Tr
91,"Verduras, hortaliças e derivados","Batata, inglesa, cozida",86.36,51.59,215.85,1.16,Tr,NA,11.94,1.34,0.51,3.52,5.43,0.07,24.34,0.19,2.29,161.33,0.06,0.19,NA,,,0.05,Tr,0.08,Tr,3.76
92,"Verduras, hortaliças e derivados","Batata, inglesa, crua",82.87,64.37,269.33,1.77,Tr,NA,14.69,1.16,0.64,3.55,14.58,0.10,38.54,0.36,Tr,302.05,0.09,0.24,NA,,,0.10,Tr,0.15,Tr,31.08
93,"Verduras, hortaliças e derivados","Batata, inglesa, frita",44.12,267.16,1117.79,4.97,13.11,NA,35.64,8.06,2.16,6.28,14.11,0.15,69.67,0.44,1.91,488.94,0.10,0.38,NA,,,0.17,Tr,0.10,2.51,16.34
94,"Verduras, hortaliças e derivados","Batata, inglesa, sauté",83.09,67.89,284.04,1.29,0.90,NA,14.09,1.38,0.63,4.18,6.46,0.08,31.97,0.25,8.18,199.48,0.05,0.21,NA,,,0.07,Tr,0.09,1.38,Tr
95,"Verduras, hortaliças e derivados","Berinjela, cozida",94.43,18.85,78.85,0.68,0.15,NA,4.47,2.52,0.27,10.77,8.82,0.11,15.03,0.22,1.33,105.48,0.04,0.13,NA,,,0.04,Tr,Tr,Tr,Tr
96,"Verduras, hortaliças e derivados","Berinjela, crua",93.80,19.63,82.12,1.22,0.10,NA,4.43,2.87,0.45,9.22,12.91,0.10,20.46,0.25,Tr,204.55,0.06,0.12,NA,24.00,12.00,0.04,0.05,Tr,Tr,3.01
97,"Verduras, hortaliças e derivados","Beterraba, cozida",90.57,32.15,134.53,1.29,0.09,NA,7.23,1.88,0.81,15.26,16.54,0.19,30.13,0.24,22.76,245.48,0.04,0.35,NA,,,0.09,Tr,Tr,Tr,1.24
98,"Verduras, hortaliças e derivados","Beterraba, crua",85.98,48.83,204.30,1.95,0.09,NA,11.11,3.37,0.87,18.11,24.43,1.23,19.39,0.32,9.72,375.07,0.08,0.52,NA,,,0.04,Tr,0.04,Tr,3.12
99,"Verduras, hortaliças e derivados","Biscoito, polvilho doce",5.44,437.55,1830.71,1.29,12.25,9.39,80.54,1.16,0.49,30.45,5.85,0.08,23.32,1.77,97.80,53.58,0.04,0.15,Tr,,,Tr,0.03,0.07,Tr,Tr
100,"Verduras, hortaliças e derivados","Brócolis, cozido",92.62,24.64,103.08,2.13,0.46,NA,4.37,3.42,0.42,50.75,14.55,0.12,33.16,0.54,2.12,118.54,0.08,0.24,NA,,,0.04,0.03,Tr,Tr,42.00
101,"Verduras, hortaliças e derivados","Brócolis, cru",91.22,25.50,106.67,3.64,0.27,NA,4.03,2.88,0.84,85.87,29.57,0.26,78.46,0.61,3.33,322.11,0.06,0.48,NA,279.33,139.67,0.12,0.18,0.08,1.39,34.28
102,"Verduras, hortaliças e derivados","Cará, cozido",78.88,77.58,324.62,1.53,0.11,NA,18.85,2.63,0.62,5.17,14.84,0.02,27.80,0.31,1.01,203.25,0.11,0.24,NA,,,0.12,Tr,0.12,Tr,Tr
103,"Verduras, hortaliças e derivados","Cará, cru",73.69,95.63,400.13,2.28,0.14,NA,22.95,7.27,0.93,3.91,11.47,0.01,34.72,0.21,Tr,211.67,0.06,0.18,NA,,,0.11,Tr,0.02,Tr,8.79
104,"Verduras, hortaliças e derivados","Caruru, cru",87.62,34.03,142.39,3.20,0.59,NA,5.97,4.47,2.62,455.30,197.44,0.89,77.26,4.46,13.67,278.98,0.37,6.03,NA,1906.00,953.00,Tr,0.10,0.11,Tr,5.36
105,"Verduras, hortaliças e derivados","Catalonha, crua",91.76,23.89,99.95,1.87,0.28,NA,4.75,2.05,1.33,56.80,17.30,0.34,32.00,3.08,9.39,411.79,0.27,0.48,NA,,,Tr,0.03,0.36,1.54,7.33
106,"Verduras, hortaliças e derivados","Catalonha, refogada",87.43,63.45,265.47,1.95,4.81,NA,4.81,3.65,1.00,63.22,16.35,0.64,35.36,1.18,24.72,452.28,0.18,0.44,NA,850.00,425.00,0.04,Tr,0.03,0.60,Tr
107,"Verduras, hortaliças e derivados","Cebola, crua",88.92,39.42,164.93,1.71,0.08,NA,8.85,2.19,0.44,14.00,11.92,0.13,37.87,0.20,0.60,176.12,0.05,0.17,NA,,,0.04,Tr,0.14,Tr,4.67
108,"Verduras, hortaliças e derivados","Cebolinha, crua",93.88,19.52,81.65,1.87,0.35,NA,3.37,3.55,0.53,79.85,24.59,0.13,26.89,0.65,1.60,206.44,0.04,0.30,NA,134.42,67.21,0.03,0.04,0.08,Tr,31.78
109,"Verduras, hortaliças e derivados","Cenoura, cozida",91.66,29.86,124.94,0.85,0.22,NA,6.69,2.63,0.58,25.62,14.48,0.05,26.74,0.09,7.88,175.51,0.02,0.23,NA,612.00,306.00,0.07,Tr,0.06,2.68,Tr
110,"Verduras, hortaliças e derivados","Cenoura, crua",90.08,34.14,142.82,1.32,0.17,NA,7.66,3.18,0.87,22.54,11.23,0.05,27.85,0.18,3.33,314.81,0.05,0.22,NA,1326.00,663.00,Tr,Tr,0.05,Tr,5.12
