"id","description","category","humidity_percents","energy_kcal","energy_kj","protein_g","lipid_g","cholesterol_mg","carbohydrate_g","fiber_g","ashes_g","calcium_mg","magnesium_mg","manganese_mg","phosphorus_mg","iron_mg","sodium_mg","potassium_mg","copper_mg","zinc_mg","retinol_mcg","re_mcg","rae_mcg","thiamine_mg","riboflavin_mg","pyridoxine_mg","niacin_mg","vitaminC_mg","saturated_g","monounsaturated_g","polyunsaturated_g","12:0_g","14:0_g","16:0_g","18:0_g","20:0_g","22:0_g","24:0_g","14:1_g","16:1_g","18:1_g","20:1_g","18:2 n-6_g","18:3 n-3_g","20:4_g","20:5_g","22:5_g","22:6_g","18:1t_g","18:2t_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","histidine_g","alanine_g","aspartic_g","glutamic_g","glycine_g","proline_g","serine_g"
27,"Creme de arroz, pó","Cereais e derivados",7.333,386.001190336398,1615.02898036749,7.02694977474213,1.226,"NA",83.8693835585912,1.07133333333333,0.544666666666667,7.08533333333333,50.5033333333333,1.23733333333333,153.02,0.632333333333333,1.03033333333333,114.680333333333,0.038,1.86366666666667,"NA","","",0.216666666666667,"Tr",0.053333333333333,"Tr","Tr",0.4,0.3,0.4,"",0.01,0.37,0.03,"Tr","",0.01,"","Tr",0.31,"Tr",0.43,0.01,"","","","","","","","","","","","","","","","","","","","","","","",""
28,"Creme de milho, pó","Cereais e derivados",5.652,333.034192670544,1393.41506213356,4.82083333333333,1.63933333333333,"NA",86.1485,3.72233333333333,1.73933333333333,323.163333333333,30.0623333333333,0.2,303.266666666667,4.257,593.793666666667,165.723666666667,0.042666666666667,0.780666666666667,"NA","","",0.74,"Tr",2.05333333333333,"Tr",96.34,0.3,0.5,0.8,"","",0.29,0.04,0.01,"","Tr","","Tr",0.45,"Tr",0.75,0.02,"","","","","","","","","","","","","","","","","","","","","","","",""
29,"Curau, milho verde","Cereais e derivados",81.5646666666667,78.4338183136559,328.167095824336,2.36060004234314,1.637,4.742,13.9443999576569,0.456666666666667,0.493333333333333,52.596,15.9613333333333,0.055666666666667,74.6563333333333,0.449333333333333,20.512,161.842333333333,0.025333333333333,0.4,12.07,20.07,16.07,0.036666666666667,0.07,"Tr","Tr","Tr",0.817333333333333,0.468,0.174666666666667,0.014666666666667,0.112333333333333,0.483666666666667,0.193666666666667,"Tr","","","Tr",0.029666666666667,0.438333333333333,"",0.174666666666667,"Tr","","","","",0.039666666666667,"","","","","","","","","","","","","","","","","","",""
30,"Curau, milho verde, mistura para","Cereais e derivados",3.91633333333333,402.286577435315,1683.16703998936,2.22291666666667,13.3713333333333,"NA",79.8164166666667,2.52266666666667,0.673,30.878,8.50066666666667,0.054666666666667,44.619,0.862666666666667,222.925666666667,55.3353333333333,0.029333333333333,0.240666666666667,"NA","","",0.133333333333333,"Tr","Tr","Tr","Tr",3,4.9,1.4,"",0.01,1.55,1.3,0.05,0.06,0.03,"","",4.85,0.03,1.38,0.03,"","","","",2.81,0.63,"","","","","","","","","","","","","","","","","",""
31,"Farinha, de arroz, enriquecida","Cereais e derivados",12.6933333333333,363.056480181224,1519.02831307824,1.26933329264323,0.3,"NA",85.5040000406901,0.58,0.233333333333333,1.12266666666667,4.3,0.042333333333333,35.9586666666667,31.3833333333333,17.1016666666667,12.5406666666667,"Tr",8.48,"NA","","",3.23333333333333,"Tr",3.46666666666667,24.4233333333333,173.586666666667,0.2,0.1,0.2,"Tr","Tr",0.18,0.01,"Tr","Tr","Tr","","Tr",0.08,"Tr",0.17,0.01,"","","","","Tr","Tr","","","","","","","","","","","","","","","","","",""
32,"Farinha, de centeio, integral","Cereais e derivados",10.7766666666667,335.777662799327,1404.89374115238,12.515066502889,1.75333333333333,"NA",73.2982668304443,15.48,1.65666666666667,33.9166666666667,120.233333333333,3.85666666666667,339.986666666667,4.73,41.3766666666667,333.62,0.563333333333333,2.66333333333333,"NA","","",0.286666666666667,0.03,0.08,"Tr","Tr",0.3,0.3,0.8,"","Tr",0.31,0.02,"Tr","Tr","","","Tr",0.26,0.01,0.73,"","","","","","","Tr","","","","","","","","","","","","","","","","","",""
33,"Farinha, de milho, amarela","Cereais e derivados",11.7733333333333,350.58693322738,1466.85572862336,7.1875,1.46666666666667,"NA",79.0791666666667,5.49,0.493333333333333,1.285,30.955,"Tr",84.2213333333333,2.25266666666667,44.9323333333333,57.8536666666667,0.266666666666667,0.598333333333333,"NA",18,9,0.253333333333333,"Tr",0.253333333333333,"Tr","Tr",0.4,0.4,0.6,"Tr","Tr",0.3,0.04,0.01,"","","","Tr",0.38,"Tr",0.63,0.02,"","","","","","","","","","","","","","","","","","","","","","","",""
34,"Farinha, de rosca","Cereais e derivados",9.80666666666667,370.578096666667,1550.49875645333,11.3809996191661,1.46333333333333,"NA",75.7856666666667,4.82333333333333,1.56333333333333,35.2993333333333,56.8796666666667,1.62066666666667,194.958333333333,6.73366666666667,332.5,212.144,0.263,1.67133333333333,"NA","","",0.253333333333333,"Tr",0.09,"Tr","Tr",0.6,0.4,0.8,0.01,0.02,0.44,0.07,"Tr","","","",0.01,0.37,0.01,0.74,0.05,"","","","",0.02,0.01,"","","","","","","","","","","","","","","","","",""
35,"Farinha, de trigo","Cereais e derivados",12.98,360.472978550725,1508.21894225623,9.79078260869565,1.36666666666667,"NA",75.0925507246377,2.34666666666667,0.77,17.8633333333333,31.0033333333333,0.460333333333333,114.74,0.95,0.736666666666667,151.366666666667,0.15,0.826666666666667,"NA","","",0.313333333333333,"Tr","Tr",0.89,"Tr",0.31,0.155,0.445,"","Tr",0.296,0.014,"Tr","Tr","Tr","","Tr",0.134666666666667,"",0.431,0.014,"","Tr","Tr","","","Tr","","","","","","","","","","","","","","","","","",""
36,"Farinha, láctea, de cereais","Cereais e derivados",2.69666666666667,414.850517391304,1735.73456476522,11.8791304347826,5.79,11.2718,77.7708695652174,1.94,1.86333333333333,196.063333333333,57.6866666666667,1.489,296.443333333333,8.72333333333333,125.073333333333,365.603333333333,0.193333333333333,1.72666666666667,492.246666666667,"","",1.43,1.13333333333333,1.13666666666667,9.5,24.31,3.3,1.4,0.6,0.12,0.5,1.73,0.58,0.01,0.01,"",0.03,0.11,1.2,"",0.59,0.03,"","","","",0.13,0.02,"","","","","","","","","","","","","","","","","",""
37,"Lasanha, massa fresca, cozida","Cereais e derivados",59.6463333333333,163.763666666667,685.187181333333,5.8125,1.15833333333333,"NA",32.5221666666667,1.63633333333333,0.860666666666667,9.97166666666667,3.539,0.195,42.384,1.18866666666667,206.769333333333,53.9146666666667,0.070666666666667,0.405,"NA","","",0.04,"Tr","Tr",3.96,"",0.6,0.4,0.1,"","",0.48,0.1,"","","","",0.02,0.4,"Tr",0.1,"","","","","","","","","","","","","","","","","","","","","","","","",""
38,"Lasanha, massa fresca, crua","Cereais e derivados",44.9856666666667,220.305666666667,921.758909333334,7.00833333333333,1.33766666666667,"NA",45.0583333333333,1.60633333333333,1.61,16.5456666666667,12.5916666666667,0.344666666666667,81.9613333333333,1.87233333333333,666.710333333333,136.607,0.097666666666667,0.755666666666667,"NA","","",0.08,"Tr","Tr","Tr","",0.5,0.4,0.4,"","",0.39,0.08,"","","","",0.01,0.39,"Tr",0.38,0.01,"","","","","","","","","","","","","","","","","","","","","","","",""
39,"Macarrão, instantâneo","Cereais e derivados",5.97333333333333,435.864780533333,1823.65824175147,8.79168,17.2366666666667,"NA",62.4316533333333,5.61,5.56666666666667,17.6266666666667,19.3666666666667,0.253,112.15,0.8,1515.52666666667,147.92,0.103333333333333,0.503333333333333,"NA","","",1.18,0.04,0.533333333333333,9.36666666666667,"Tr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40,"Macarrão, trigo, cru","Cereais e derivados",10.2433333333333,371.122613043478,1552.77701297391,9.99565217391304,1.30333333333333,"NA",77.944347826087,2.92666666666667,0.513333333333333,17.3,27.69,0.528333333333333,99.81,0.88,7.17,147.06,0.15,0.776666666666667,"NA","","",0.176666666666667,0.02,"Tr",3.56666666666667,"Tr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41,"Macarrão, trigo, cru, com ovos","Cereais e derivados",10.5633333333333,370.567113333333,1550.45280218667,10.3208,1.97,17.568,76.6225333333334,2.29666666666667,0.523333333333333,19.4533333333333,"Tr",0.397,118.476666666667,0.916666666666667,14.74,134.096666666667,0.136666666666667,0.813333333333334,"Tr","","",0.106666666666667,0.05,0.03,4.37,"Tr",0.535333333333333,0.377666666666667,0.756666666666667,"","",0.464666666666667,0.070666666666667,"Tr","Tr","Tr","","Tr",0.377666666666667,"Tr",0.730333333333333,0.026333333333333,"","","","","","Tr","","","","","","","","","","","","","","","","","",""
42,"Milho, amido, cru","Cereais e derivados",12.18333,361.366823878261,1511.95879110664,0.597826086956522,"Tr","NA",87.1488439130435,0.7433333,0.07,1.05766666666667,3.02766666666667,0.018333333333333,12.603,0.127666666666667,8.083,8.535,0.015333333333333,0.079666666666667,"NA","","","Tr","Tr","Tr","Tr","Tr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43,"Milho, fubá, cru","Cereais e derivados",11.4533333333333,353.482268115942,1478.9698097971,7.21376811594203,1.90333333333333,"NA",78.8728985507246,4.71333333333333,0.556666666666667,2.66666666666667,41.23,0.338666666666667,107.836666666667,0.85,"Tr",168.333333333333,0.08,1.09333333333333,"NA",26,13,0.253333333333333,"Tr","Tr",0.746666666666667,"Tr",0.430333333333333,0.892,1.317,"","",0.346,0.068333333333333,0.016,"Tr","Tr","","Tr",0.892,"Tr",1.28933333333333,0.027666666666667,"","","Tr","","","","","","","","","","","","","","","","","","","","",""
