		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
81	Alfavaca, crua	0.1	Tr	0.2	Tr	Tr	0.11	0.02	Tr	Tr	Tr	81		0.01	0.01		0.04	0.16						
85	Almeirão, refogado	0.8	1.1	2.6			0.53	0.19	0.02	0.02	Tr	85		Tr	1.11	0.03	2.3	0.35						0.04
90	Batata, frita, tipo chips, industrializada	12.9	11.9	4	0.1	0.25	10.98	1.3	0.11	0.02	0.02	90		0.04	11.83	0.05	3.85	0.09					0.02	0.09
93	Batata, inglesa, frita	2.1	3.4	6.6		0.01	1.41	0.52	0.05	0.06	0.01	93		0.01	3.31	0.06	6.29	0.3						0.07
94	Batata, inglesa, sauté	0.3	0.2	0.4	0.02	0.01	0.19	0.07	Tr	Tr		94			0.2		0.33	0.03						
99	Biscoito, polvilho doce	2.4	4.3	0.6		0.03	1.48	0.8	0.05	0.05	0.02	99		 	4.25	0.01	0.56						4.05	0.4
100	Brócolis, cozido	0.1	Tr	0.2		Tr	0.08	0.01	Tr	Tr	Tr	100	Tr	0.01	0.02		0.06	0.1						Tr
101	Brócolis, cru	0.1366666667	0.05766666667	0.186			0.1176666667	0.019	Tr		Tr	101		0.02166666667	0.036		0.06766666667	0.1183333333						
104	Caruru, cru	0.1	Tr	0.3	Tr	Tr	0.13	0.01		Tr	Tr	104		0.02	0.03		0.09	0.17						
105	Catalonha, crua	0.1	Tr	0.1	Tr		0.06	Tr	Tr	Tr	Tr	105		Tr	Tr		0.04	0.1						
106	Catalonha, refogada	0.71	1.07	2.976666667			0.51	0.15	0.02	0.02	0.01	106		0.01333333333	1.036666667	0.02	2.483333333	0.4833333333						0.01
